0.265 5.2700e-13 2.6740e-13 4.5660e-15 2.2304e-24 2.0278e-24 7.7316e-26
0.270 5.4740e-13 2.7860e-13 4.7590e-15 2.3188e-24 2.1182e-24 8.0308e-26
0.275 5.6820e-13 2.9010e-13 4.9560e-15 2.4086e-24 2.2107e-24 8.3368e-26
0.280 5.8960e-13 3.0170e-13 5.1560e-15 2.5004e-24 2.3045e-24 8.6428e-26
0.285 6.1110e-13 3.1340e-13 5.3580e-15 2.5935e-24 2.4004e-24 8.9488e-26
0.290 6.3300e-13 3.2530e-13 5.5620e-15 2.6874e-24 2.4976e-24 9.2616e-26
0.295 6.5500e-13 3.3740e-13 5.7650e-15 2.7819e-24 2.5962e-24 9.5744e-26
0.300 6.7700e-13 3.4950e-13 5.9670e-15 2.8771e-24 2.6962e-24 9.8804e-26
0.305 6.9900e-13 3.6170e-13 6.1700e-15 2.9723e-24 2.7962e-24 1.0193e-25
0.310 7.2090e-13 3.7380e-13 6.3740e-15 3.0682e-24 2.8975e-24 1.0499e-25
0.315 7.4330e-13 3.8610e-13 6.5790e-15 3.1647e-24 2.9981e-24 1.0805e-25
0.320 7.6570e-13 3.9830e-13 6.7820e-15 3.2606e-24 3.0994e-24 1.1104e-25
0.325 7.8770e-13 4.1040e-13 6.9820e-15 3.3565e-24 3.2001e-24 1.1397e-25
0.330 8.0930e-13 4.2230e-13 7.1780e-15 3.4510e-24 3.3007e-24 1.1676e-25
0.335 8.3090e-13 4.3420e-13 7.3700e-15 3.5448e-24 3.4007e-24 1.1954e-25
0.340 8.5230e-13 4.4620e-13 7.5560e-15 3.6373e-24 3.5006e-24 1.2220e-25
0.345 8.7300e-13 4.5800e-13 7.7370e-15 3.7284e-24 3.5986e-24 1.2478e-25
0.350 8.9300e-13 4.6950e-13 7.9090e-15 3.8162e-24 3.6951e-24 1.2716e-25
0.355 9.1270e-13 4.8080e-13 8.0740e-15 3.9025e-24 3.7903e-24 1.2940e-25
0.360 9.3190e-13 4.9190e-13 8.2300e-15 3.9868e-24 3.8835e-24 1.3158e-25
0.365 9.5050e-13 5.0280e-13 8.3750e-15 4.0718e-24 3.9746e-24 1.3348e-25
0.370 9.6830e-13 5.1310e-13 8.5090e-15 4.1534e-24 4.0630e-24 1.3525e-25
0.375 9.8560e-13 5.2310e-13 8.6330e-15 4.2323e-24 4.1494e-24 1.3682e-25
0.380 1.0020e-12 5.3300e-13 8.7420e-15 4.3071e-24 4.2323e-24 1.3818e-25
0.385 1.0180e-12 5.4260e-13 8.8390e-15 4.3778e-24 4.3126e-24 1.3933e-25
0.390 1.0330e-12 5.5150e-13 8.9170e-15 4.4438e-24 4.3894e-24 1.4022e-25
0.395 1.0470e-12 5.5990e-13 8.9790e-15 4.5064e-24 4.4622e-24 1.4083e-25
0.400 1.0600e-12 5.6810e-13 9.0210e-15 4.5648e-24 4.5322e-24 1.4117e-25
0.405 1.0710e-12 5.7600e-13 9.0570e-15 4.6192e-24 4.5995e-24 1.4130e-25
0.410 1.0810e-12 5.8330e-13 9.0930e-15 4.6696e-24 4.6648e-24 1.4124e-25
0.415 1.0910e-12 5.9020e-13 9.1280e-15 4.7185e-24 4.7260e-24 1.4096e-25
0.420 1.1000e-12 5.9660e-13 9.1530e-15 4.7634e-24 4.7831e-24 1.4049e-25
0.425 1.1080e-12 6.0230e-13 9.1650e-15 4.8042e-24 4.8362e-24 1.3988e-25
0.430 1.1150e-12 6.0730e-13 9.1670e-15 4.8396e-24 4.8851e-24 1.3899e-25
0.435 1.1210e-12 6.1230e-13 9.1600e-15 4.8729e-24 4.9314e-24 1.3804e-25
0.440 1.1280e-12 6.1700e-13 9.1450e-15 4.9042e-24 4.9728e-24 1.3682e-25
0.445 1.1340e-12 6.2100e-13 9.1190e-15 4.9307e-24 5.0096e-24 1.3546e-25
0.450 1.1390e-12 6.2410e-13 9.0830e-15 4.9518e-24 5.0395e-24 1.3389e-25
0.455 1.1410e-12 6.2660e-13 9.0340e-15 4.9667e-24 5.0646e-24 1.3219e-25
0.460 1.1410e-12 6.2920e-13 8.9700e-15 4.9769e-24 5.0850e-24 1.3029e-25
0.465 1.1410e-12 6.3110e-13 8.8900e-15 4.9830e-24 5.1007e-24 1.2818e-25
0.470 1.1390e-12 6.3190e-13 8.7850e-15 4.9837e-24 5.1095e-24 1.2587e-25
0.475 1.1370e-12 6.3150e-13 8.6490e-15 4.9790e-24 5.1122e-24 1.2328e-25
0.480 1.1340e-12 6.3100e-13 8.4850e-15 4.9688e-24 5.1116e-24 1.2050e-25
0.485 1.1290e-12 6.3070e-13 8.3030e-15 4.9558e-24 5.1075e-24 1.1750e-25
0.490 1.1240e-12 6.3070e-13 8.1110e-15 4.9422e-24 5.1014e-24 1.1438e-25
0.495 1.1200e-12 6.3040e-13 7.9100e-15 4.9273e-24 5.0898e-24 1.1118e-25
0.500 1.1150e-12 6.2940e-13 7.6990e-15 4.9110e-24 5.0748e-24 1.0778e-25
0.505 1.1090e-12 6.2740e-13 7.4810e-15 4.8906e-24 5.0544e-24 1.0438e-25
0.510 1.1030e-12 6.2450e-13 7.2560e-15 4.8661e-24 5.0306e-24 1.0078e-25
0.515 1.0960e-12 6.2140e-13 7.0250e-15 4.8368e-24 5.0041e-24 9.7172e-26
0.520 1.0870e-12 6.1830e-13 6.7880e-15 4.8049e-24 4.9728e-24 9.3500e-26
0.525 1.0790e-12 6.1510e-13 6.5480e-15 4.7722e-24 4.9395e-24 8.9760e-26
0.530 1.0710e-12 6.1170e-13 6.3060e-15 4.7416e-24 4.9042e-24 8.6020e-26
0.535 1.0630e-12 6.0800e-13 6.0640e-15 4.7110e-24 4.8668e-24 8.2212e-26
0.540 1.0550e-12 6.0400e-13 5.8200e-15 4.6770e-24 4.8260e-24 7.8472e-26
0.545 1.0450e-12 5.9950e-13 5.5750e-15 4.6376e-24 4.7811e-24 7.4732e-26
0.550 1.0340e-12 5.9490e-13 5.3310e-15 4.5954e-24 4.7342e-24 7.0992e-26
0.555 1.0240e-12 5.9040e-13 5.0870e-15 4.5526e-24 4.6872e-24 6.7313e-26
0.560 1.0120e-12 5.8580e-13 4.8440e-15 4.5084e-24 4.6383e-24 6.3662e-26
0.565 1.0010e-12 5.8090e-13 4.6030e-15 4.4615e-24 4.5873e-24 6.0064e-26
0.570 9.8910e-13 5.7560e-13 4.3640e-15 4.4125e-24 4.5342e-24 5.6535e-26
0.575 9.7800e-13 5.6980e-13 4.1290e-15 4.3663e-24 4.4785e-24 5.3081e-26
0.580 9.6760e-13 5.6400e-13 3.9000e-15 4.3221e-24 4.4227e-24 4.9728e-26
0.585 9.5720e-13 5.5790e-13 3.6760e-15 4.2758e-24 4.3649e-24 4.6492e-26
0.590 9.4590e-13 5.5170e-13 3.4590e-15 4.2276e-24 4.3051e-24 4.3370e-26
0.595 9.3360e-13 5.4560e-13 3.2480e-15 4.1759e-24 4.2439e-24 4.0372e-26
0.600 9.2030e-13 5.3940e-13 2.5110e-15 4.1215e-24 4.1820e-24 3.7488e-26
0.605 9.0650e-13 5.3290e-13 1.6280e-15 4.0644e-24 4.1194e-24 3.2171e-26
0.610 8.9250e-13 5.2630e-13 7.3980e-16 4.0072e-24 4.0562e-24 2.5194e-26
0.615 8.7880e-13 5.1980e-13 4.1200e-16 3.9494e-24 3.9930e-24 1.7809e-26
0.620 8.6540e-13 5.1320e-13 2.7900e-16 3.8923e-24 3.9290e-24 1.3042e-26
0.625 8.5260e-13 5.0620e-13 2.0450e-16 3.8372e-24 3.8638e-24 1.0329e-26
0.630 8.3990e-13 4.9930e-13 1.5600e-16 3.7849e-24 3.7998e-24 8.5340e-27
0.635 8.2700e-13 4.9290e-13 1.2170e-16 3.7318e-24 3.7380e-24 7.2352e-27
0.640 8.1390e-13 4.8640e-13 9.6090e-17 3.6761e-24 3.6747e-24 6.2363e-27
0.645 8.0120e-13 4.8000e-13 7.6180e-17 3.6203e-24 3.6115e-24 5.4257e-27
0.650 7.8880e-13 4.7310e-13 6.0250e-17 3.5632e-24 3.5496e-24 4.7430e-27
0.655 7.7650e-13 4.6670e-13 4.7270e-17 3.5074e-24 3.4891e-24 4.1480e-27
0.660 7.6380e-13 4.6010e-13 3.6530e-17 3.4530e-24 3.4292e-24 3.6135e-27
0.665 7.5100e-13 4.5370e-13 2.7600e-17 3.4000e-24 3.3701e-24 3.1205e-27
0.670 7.3810e-13 4.4640e-13 2.0160e-17 3.3463e-24 3.3109e-24 2.6547e-27
0.675 7.2560e-13 4.3940e-13 1.4010e-17 3.2919e-24 3.2524e-24 2.2052e-27
0.680 7.1390e-13 4.3290e-13 9.0380e-18 3.2388e-24 3.1953e-24 1.7612e-27
0.685 7.0260e-13 4.2680e-13 5.1790e-18 3.1865e-24 3.1396e-24 1.3158e-27
0.690 6.9120e-13 4.2080e-13 2.4270e-18 3.1334e-24 3.0845e-24 8.5952e-28
0.695 6.7950e-13 4.1440e-13 8.2240e-19 3.0784e-24 3.0294e-24 4.1976e-28
0.700 6.6780e-13 4.0840e-13 1.4010e-19 3.0253e-24 2.9764e-24 1.3124e-28
0.705 6.5650e-13 4.0250e-13 1.0000e-40 2.9736e-24 2.9247e-24 6.8000e-41
0.710 6.4510e-13 3.9660e-13 1.0000e-40 2.9220e-24 2.8744e-24 6.8000e-41
0.715 6.3350e-13 3.8980e-13 1.0000e-40 2.8689e-24 2.8227e-24 6.8000e-41
0.720 6.2140e-13 3.8240e-13 1.0000e-40 2.8138e-24 2.7703e-24 6.8000e-41
0.725 6.0950e-13 3.7500e-13 1.0000e-40 2.7594e-24 2.7193e-24 6.8000e-41
0.730 5.9780e-13 3.6830e-13 1.0000e-40 2.7071e-24 2.6724e-24 6.8000e-41
0.735 5.8660e-13 3.6240e-13 1.0000e-40 2.6568e-24 2.6289e-24 6.8000e-41
0.740 5.7550e-13 3.5670e-13 1.0000e-40 2.6071e-24 2.5874e-24 6.8000e-41
0.745 5.6470e-13 3.5130e-13 1.0000e-40 2.5588e-24 2.5459e-24 6.8000e-41
0.750 5.5410e-13 3.4590e-13 1.0000e-40 2.5106e-24 2.5051e-24 6.8000e-41
0.755 5.4350e-13 3.4040e-13 1.0000e-40 2.4630e-24 2.4650e-24 6.8000e-41
0.760 5.3270e-13 3.3480e-13 1.0000e-40 2.4147e-24 2.4249e-24 6.8000e-41
0.765 5.2180e-13 3.2920e-13 1.0000e-40 2.3664e-24 2.3854e-24 6.8000e-41
0.770 5.1100e-13 3.2390e-13 1.0000e-40 2.3195e-24 2.3480e-24 6.8000e-41
0.775 5.0020e-13 3.1850e-13 1.0000e-40 2.2732e-24 2.3127e-24 6.8000e-41
0.780 4.8940e-13 3.1310e-13 1.0000e-40 2.2270e-24 2.2780e-24 6.8000e-41
0.785 4.7850e-13 3.0800e-13 1.0000e-40 2.1814e-24 2.2454e-24 6.8000e-41
0.790 4.6820e-13 3.0320e-13 1.0000e-40 2.1386e-24 2.2134e-24 6.8000e-41
0.795 4.5830e-13 2.9840e-13 1.0000e-40 2.0978e-24 2.1814e-24 6.8000e-41
0.800 4.4850e-13 2.9340e-13 1.0000e-40 2.0563e-24 2.1488e-24 6.8000e-41
0.805 4.3840e-13 2.8810e-13 1.0000e-40 2.0142e-24 2.1162e-24 6.8000e-41
0.810 4.2800e-13 2.8280e-13 1.0000e-40 1.9713e-24 2.0842e-24 6.8000e-41
0.815 4.1800e-13 2.7770e-13 1.0000e-40 1.9285e-24 2.0516e-24 6.8000e-41
0.820 4.0820e-13 2.7260e-13 1.0000e-40 1.8856e-24 2.0169e-24 6.8000e-41
0.825 3.9860e-13 2.6740e-13 1.0000e-40 1.8435e-24 1.9808e-24 6.8000e-41
0.830 3.8890e-13 2.6220e-13 1.0000e-40 1.8006e-24 1.9455e-24 6.8000e-41
0.835 3.7860e-13 2.5680e-13 1.0000e-40 1.7558e-24 1.9108e-24 6.8000e-41
0.840 3.6780e-13 2.5110e-13 1.0000e-40 1.7088e-24 1.8754e-24 6.8000e-41
0.845 3.5660e-13 2.4530e-13 1.0000e-40 1.6606e-24 1.8394e-24 6.8000e-41
0.850 3.4550e-13 2.3930e-13 1.0000e-40 1.6123e-24 1.8013e-24 6.8000e-41
0.855 3.3450e-13 2.3320e-13 1.0000e-40 1.5647e-24 1.7619e-24 6.8000e-41
0.860 3.2370e-13 2.2710e-13 1.0000e-40 1.5171e-24 1.7218e-24 6.8000e-41
0.865 3.1280e-13 2.2100e-13 1.0000e-40 1.4695e-24 1.6803e-24 6.8000e-41
0.870 3.0200e-13 2.1480e-13 1.0000e-40 1.4219e-24 1.6374e-24 6.8000e-41
0.875 2.9120e-13 2.0870e-13 1.0000e-40 1.3743e-24 1.5966e-24 6.8000e-41
0.880 2.8080e-13 2.0270e-13 1.0000e-40 1.3280e-24 1.5579e-24 6.8000e-41
0.885 2.7070e-13 1.9700e-13 1.0000e-40 1.2845e-24 1.5205e-24 6.8000e-41
0.890 2.6100e-13 1.9140e-13 1.0000e-40 1.2417e-24 1.4838e-24 6.8000e-41
