x,exact,Hancock_PLM,Hancock_PPM_tr_2shk,Local_PPM_tr_2shk,Local_PPM_exact_label_THINC,Local_PPM_carried_label_THINC,PPM_DirectEuler,PPML_trace
0.00390625,2.0,1.5922696590423584,1.590247392654419,1.5327246189117432,1.5575848817825317,1.5369884967803955,1.5934737920761108,1.7577818632125854
0.01171875,2.0,1.8083151578903198,1.741896152496338,1.7255085706710815,1.7998011112213135,1.7397911548614502,1.745445728302002,1.9449766874313354
0.01953125,2.0,1.945774793624878,1.8604450225830078,1.8982365131378174,1.972377896308899,1.9162806272506714,1.8635127544403076,1.9875500202178955
0.02734375,2.0,1.9892133474349976,1.9382154941558838,2.0095393657684326,2.0297818183898926,2.0190258026123047,1.9392646551132202,1.9971051216125488
0.03515625,2.0,2.001265287399292,1.9792319536209106,2.035281181335449,2.0346198081970215,2.0375373363494873,1.9783693552017212,1.9992356300354004
0.04296875,2.0,2.0045034885406494,1.9953073263168335,2.0373117923736572,2.034712791442871,2.0388131141662598,1.9943331480026245,1.999712347984314
0.05078125,2.0,2.005221366882324,1.9993139505386353,2.0367250442504883,2.032736301422119,2.0379245281219482,1.9990999698638916,1.9998160600662231
0.05859375,2.0,2.0052921772003174,1.9998518228530884,2.0338187217712402,2.028867721557617,2.034599781036377,1.9998830556869507,1.9998366832733154
0.06640625,2.0,2.0052216053009033,1.9999110698699951,2.028942584991455,2.0237066745758057,2.029219627380371,1.9999357461929321,1.9998393058776855
0.07421875,2.0,2.004972219467163,1.9999209642410278,2.0225937366485596,2.017803430557251,2.022305965423584,1.9999313354492188,1.9998425245285034
0.08203125,2.0,2.0046324729919434,1.9999247789382935,2.015418767929077,2.011709451675415,2.0145866870880127,1.999927282333374,1.9998478889465332
0.08984375,2.0,2.0042381286621094,1.9999271631240845,2.0081779956817627,2.0059828758239746,2.0069003105163574,1.999917984008789,1.9998496770858765
0.09765625,2.0,2.003786087036133,1.999929666519165,2.001669406890869,2.001161813735962,2.0001380443573,1.9998496770858765,1.999850869178772
0.10546875,2.0,2.003464937210083,1.999932885169983,1.9966716766357422,1.9977004528045654,1.9951664209365845,1.999633550643921,1.9998520612716675
0.11328125,2.0,2.0034172534942627,1.999936819076538,1.9937835931777954,1.9957524538040161,1.9925965070724487,1.9994101524353027,1.9998533725738525
0.12109375,2.0,2.0034666061401367,1.9999418258666992,1.992904782295227,1.9951213598251343,1.9920547008514404,1.9993715286254883,1.999854564666748
0.12890625,2.0,2.0036909580230713,1.999943733215332,1.9931384325027466,1.9952551126480103,1.9925659894943237,1.9993776082992554,1.9998557567596436
0.13671875,2.0,2.0039925575256348,1.9999446868896484,1.9941203594207764,1.9958919286727905,1.993831992149353,1.9993839263916016,1.999858021736145
0.14453125,2.0,2.004124641418457,1.9999445676803589,1.9954771995544434,1.9967856407165527,1.9954137802124023,1.9993901252746582,1.99985933303833
0.15234375,2.0,2.0041801929473877,1.9999445676803589,1.9968960285186768,1.997727632522583,1.9969944953918457,1.9994136095046997,1.9998602867126465
0.16015625,2.0,2.0042386054992676,1.999945878982544,1.9981613159179688,1.9985833168029785,1.998350977897644,1.999524712562561,1.999862551689148
0.16796875,2.0,2.0042476654052734,1.9999529123306274,1.9991534948349,1.9992742538452148,1.9993720054626465,1.9997382164001465,1.9998652935028076
0.17578125,2.0,2.0041050910949707,1.999963641166687,1.9998414516448975,1.9997748136520386,2.0000417232513428,1.9999711513519287,1.9998669624328613
0.18359375,2.0,2.0036137104034424,1.9999730587005615,2.0002553462982178,2.000098705291748,2.0004069805145264,2.0000791549682617,1.9998672008514404
0.19140625,2.0,2.00282883644104,1.9999758005142212,2.0004513263702393,2.000274896621704,2.0005481243133545,2.00008487701416,1.9998688697814941
0.19921875,2.0,2.001868724822998,1.999976634979248,2.0004992485046387,2.000340700149536,2.000551223754883,2.0000784397125244,1.9998704195022583
