x,exact,Hancock_PLM,Hancock_PPM_tr_2shk,Local_PPM_tr_2shk,Local_PPM_exact_label_THINC,Local_PPM_carried_label_THINC,PPM_DirectEuler,PPML_trace
0.00390625,1.0,1.000565767288208,1.0000096559524536,0.9999872446060181,0.9999978542327881,0.999991238117218,0.9998939037322998,1.0000128746032715
0.01171875,1.0,1.0004055500030518,1.0000098943710327,0.9999763369560242,0.9999910593032837,0.9999838471412659,1.000000238418579,1.0000123977661133
0.01953125,1.0,1.0002410411834717,1.0000100135803223,0.9999643564224243,0.9999828338623047,0.9999744296073914,1.0001431703567505,1.0000122785568237
0.02734375,1.0,1.0000799894332886,1.0000100135803223,0.9999524354934692,0.9999736547470093,0.9999641180038452,1.0002624988555908,1.000011920928955
0.03515625,1.0,0.9999357461929321,1.0000102519989014,0.9999439120292664,0.9999662637710571,0.9999567270278931,1.0002886056900024,1.0000115633010864
0.04296875,1.0,0.9998089075088501,1.00001060962677,0.9999426603317261,0.9999639391899109,0.9999566674232483,1.0002820491790771,1.0000109672546387
0.05078125,1.0,0.9997025728225708,1.0000122785568237,0.999955952167511,0.9999709725379944,0.9999685287475586,1.0002455711364746,1.00001060962677
0.05859375,1.0,0.9996395111083984,1.0000128746032715,0.9999872446060181,0.9999912977218628,0.9999963641166687,1.000196933746338,1.000010371208191
0.06640625,1.0,0.9996185898780823,1.000012755393982,1.0000373125076294,1.0000276565551758,1.0000417232513428,1.0001453161239624,1.00001060962677
0.07421875,1.0,0.9996171593666077,1.0000125169754028,1.000104546546936,1.0000795125961304,1.0001049041748047,1.0000873804092407,1.0000104904174805
0.08203125,1.0,0.9996116757392883,1.0000118017196655,1.000186800956726,1.000145673751831,1.00018310546875,1.0000306367874146,1.0000100135803223
0.08984375,1.0,0.9995806217193604,1.000011682510376,1.0002763271331787,1.0002208948135376,1.0002695322036743,0.999996542930603,1.0000096559524536
0.09765625,1.0,0.9995183944702148,1.0000114440917969,1.0003585815429688,1.0002957582473755,1.0003529787063599,0.9999693632125854,1.0000098943710327
0.10546875,1.0,0.9994894862174988,1.000011920928955,1.0004154443740845,1.000356912612915,1.0004181861877441,0.9999383687973022,1.0000098943710327
0.11328125,1.0,0.9994622468948364,1.0000145435333252,1.0004241466522217,1.0003858804702759,1.000443458557129,0.9999173879623413,1.0000097751617432
0.12109375,1.0,0.9993941187858582,1.0000165700912476,1.0003377199172974,1.0003612041473389,1.0003902912139893,0.999908983707428,1.000009298324585
